Sport,Date,Start time
SWIMMING,23-01-2026,16:59:57
Sample rate,Time,HR (bpm)
1,01:20:43,161
,01:20:44,161
,01:20:45,161
,01:20:46,161
,01:20:47,162
,01:20:48,161
,01:20:49,161
,01:20:50,161
,01:20:51,161
,01:20:52,161
,01:20:53,161
,01:20:54,160
,01:20:55,159
,01:20:56,159
,01:20:57,159
,01:20:58,157
,01:20:59,156
,01:21:00,156
,01:21:01,153
,01:21:02,150
,01:21:03,148
,01:21:04,148
,01:21:05,146
,01:21:06,145
,01:21:07,146
,01:21:08,146
,01:21:09,147
,01:21:10,148
,01:21:11,149
,01:21:12,149
,01:21:13,149
,01:21:14,149
,01:21:15,150
,01:21:16,150
,01:21:17,150
,01:21:18,151
,01:21:19,151
,01:21:20,151
,01:21:21,152
,01:21:22,153
,01:21:23,154
,01:21:24,156
,01:21:25,157
,01:21:26,162
,01:21:27,165
,01:21:28,165
,01:21:29,167
,01:21:30,170
,01:21:31,171
,01:21:32,171
,01:21:33,172
,01:21:34,172
,01:21:35,172
,01:21:36,172
,01:21:37,173
,01:21:38,173
,01:21:39,173
,01:21:40,173
,01:21:41,173
,01:21:42,173
,01:21:43,173
,01:21:44,173
,01:21:45,173
,01:21:46,171
,01:21:47,171
,01:21:48,171
,01:21:49,172
,01:21:50,172
,01:21:51,172
,01:21:52,171
,01:21:53,171
,01:21:54,169
,01:21:55,168
,01:21:56,168
,01:21:57,169
,01:21:58,169
,01:21:59,170
,01:22:00,170
,01:22:01,170
,01:22:02,170
,01:22:03,170
,01:22:04,170
,01:22:05,171
,01:22:06,172
,01:22:07,172
,01:22:08,172
,01:22:09,172
,01:22:10,172
,01:22:11,172
,01:22:12,172
,01:22:13,172
,01:22:14,172
,01:22:15,172
,01:22:16,172
,01:22:17,172
,01:22:18,172
,01:22:19,172
,01:22:20,172
,01:22:21,172
,01:22:22,171
,01:22:23,171
,01:22:24,171
,01:22:25,170
,01:22:26,170
,01:22:27,170
,01:22:28,168
,01:22:29,167
,01:22:30,167
,01:22:31,166
,01:22:32,164
,01:22:33,163
,01:22:34,163
,01:22:35,163
,01:22:36,164
,01:22:37,164
,01:22:38,165
,01:22:39,166
,01:22:40,166
,01:22:41,166
