Sport,Date,Start time
SWIMMING,23-01-2026,17:01:54
Sample rate,Time,HR (bpm)
1,01:18:46,162
,01:18:47,162
,01:18:48,162
,01:18:49,162
,01:18:50,162
,01:18:51,161
,01:18:52,160
,01:18:53,157
,01:18:54,156
,01:18:55,153
,01:18:56,152
,01:18:57,150
,01:18:58,148
,01:18:59,147
,01:19:00,145
,01:19:01,144
,01:19:02,143
,01:19:03,142
,01:19:04,141
,01:19:05,141
,01:19:06,140
,01:19:07,140
,01:19:08,140
,01:19:09,142
,01:19:10,143
,01:19:11,146
,01:19:12,148
,01:19:13,151
,01:19:14,155
,01:19:15,158
,01:19:16,160
,01:19:17,163
,01:19:18,164
,01:19:19,167
,01:19:20,168
,01:19:21,170
,01:19:22,171
,01:19:23,172
,01:19:24,172
,01:19:25,173
,01:19:26,173
,01:19:27,174
,01:19:28,174
,01:19:29,174
,01:19:30,173
,01:19:31,174
,01:19:32,174
,01:19:33,174
,01:19:34,173
,01:19:35,173
,01:19:36,173
,01:19:37,174
,01:19:38,174
,01:19:39,173
,01:19:40,173
,01:19:41,173
,01:19:42,173
,01:19:43,173
,01:19:44,173
,01:19:45,174
,01:19:46,174
,01:19:47,174
,01:19:48,174
,01:19:49,174
,01:19:50,174
,01:19:51,173
,01:19:52,173
,01:19:53,173
,01:19:54,173
,01:19:55,174
,01:19:56,174
,01:19:57,173
,01:19:58,174
,01:19:59,173
,01:20:00,173
,01:20:01,173
,01:20:02,174
,01:20:03,174
,01:20:04,174
,01:20:05,174
,01:20:06,174
,01:20:07,174
,01:20:08,174
,01:20:09,173
,01:20:10,172
,01:20:11,172
,01:20:12,173
,01:20:13,172
,01:20:14,171
,01:20:15,171
,01:20:16,172
,01:20:17,172
,01:20:18,172
,01:20:19,172
,01:20:20,173
,01:20:21,173
,01:20:22,172
,01:20:23,171
,01:20:24,170
,01:20:25,169
,01:20:26,170
,01:20:27,169
,01:20:28,168
,01:20:29,168
,01:20:30,168
,01:20:31,168
,01:20:32,166
,01:20:33,164
,01:20:34,162
,01:20:35,162
,01:20:36,162
,01:20:37,163
,01:20:38,164
,01:20:39,165
,01:20:40,166
,01:20:41,167
,01:20:42,168
,01:20:43,169
,01:20:44,169
